,trial,coherence,coherence_bin,correct_side,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
0,0,0.5408164533164114,0.5,0.0,125.0,1.0,5875.0,0,1.0,0.0
1,1,0.8367699084664887,0.8,1.0,125.0,1.0,5875.0,1,0.0,1.0
2,2,0.8705236470596108,0.9,1.0,125.0,1.0,5875.0,1,0.0,1.0
3,3,-0.8899248255387675,-0.9,1.0,125.0,0.0,5875.0,0,1.0,1.0
4,4,-0.6854410364390413,-0.7,0.0,125.0,1.0,5875.0,0,0.0,1.0
5,5,0.10477280067598393,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
6,6,0.17168202238585806,0.2,1.0,125.0,0.0,5875.0,0,0.0,0.0
7,7,0.4185669413228629,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
8,8,0.7691667110243957,0.8,1.0,125.0,1.0,2765.0,1,0.0,1.0
9,9,-0.34464216632723776,-0.3,0.0,125.0,1.0,5875.0,0,0.0,1.0
10,10,0.4835120948142687,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
11,11,0.006792098864988327,0.0,1.0,125.0,1.0,5875.0,1,0.0,1.0
12,12,0.010060140283882024,0.0,1.0,125.0,1.0,5875.0,1,0.0,1.0
13,13,0.024752878058615257,0.0,0.0,125.0,0.0,5875.0,1,1.0,1.0
14,14,0.48213610018542397,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
15,15,0.39642946423148306,0.4,0.0,125.0,1.0,5875.0,0,1.0,0.0
16,16,-0.8823010079407106,-0.9,0.0,125.0,1.0,5875.0,0,0.0,1.0
17,17,0.4392014348571026,0.4,0.0,125.0,0.0,5875.0,1,1.0,1.0
18,18,-0.2858438239830903,-0.3,1.0,125.0,0.0,5875.0,0,1.0,1.0
19,19,-0.4232753256630397,-0.4,0.0,125.0,0.0,2705.0,1,0.0,0.0
20,20,0.06663292415646926,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
21,21,0.5012089708131501,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
22,22,0.09078104858010239,0.1,1.0,125.0,1.0,5875.0,1,0.0,1.0
23,23,-0.09816612999696983,-0.1,1.0,125.0,0.0,5875.0,0,1.0,1.0
24,24,0.2839868037089962,0.3,1.0,125.0,1.0,5875.0,1,0.0,1.0
25,25,0.5281104772997812,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
26,26,-0.6625431201601416,-0.7,1.0,125.0,0.0,5875.0,0,1.0,1.0
27,27,-0.026794562028845115,-0.0,0.0,125.0,0.0,5875.0,1,0.0,0.0
28,28,0.47077553891125967,0.5,0.0,125.0,0.0,5875.0,1,1.0,1.0
29,29,0.8349985624379782,0.8,1.0,125.0,1.0,5875.0,1,0.0,1.0
30,30,-0.1416180836289752,-0.1,1.0,125.0,0.0,5875.0,0,1.0,1.0
31,31,0.2708598981139695,0.3,1.0,125.0,1.0,5875.0,1,0.0,1.0
32,32,0.8564083630121159,0.9,0.0,125.0,0.0,5875.0,1,1.0,1.0
33,33,0.30417110749504317,0.3,0.0,125.0,1.0,5875.0,0,1.0,0.0
34,34,-0.0060280330910748026,-0.0,1.0,125.0,0.0,5875.0,0,1.0,1.0
35,35,-0.18579869541985772,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
36,36,0.8254409267916382,0.8,1.0,125.0,1.0,5875.0,1,0.0,1.0
37,37,0.45155412784351434,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
38,38,-0.6164421314243242,-0.6,1.0,125.0,1.0,5875.0,1,1.0,0.0
39,39,0.4949779364769943,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
40,40,-0.7909223125232503,-0.8,1.0,125.0,1.0,5875.0,1,1.0,0.0
41,41,0.46737031392339523,0.5,1.0,125.0,1.0,5875.0,1,0.0,1.0
42,42,0.2667938671951612,0.3,1.0,125.0,1.0,5875.0,1,0.0,1.0
43,43,0.016064962466308397,0.0,1.0,125.0,1.0,5875.0,1,0.0,1.0
44,44,-0.5258245245365918,-0.5,1.0,125.0,1.0,5875.0,1,1.0,0.0
45,45,0.01311961457497468,0.0,0.0,125.0,0.0,5875.0,1,1.0,1.0
46,46,-0.46442838576853274,-0.5,1.0,125.0,0.0,5875.0,0,1.0,1.0
47,47,-0.1286451694155878,-0.1,0.0,125.0,0.0,5875.0,1,0.0,0.0
48,48,-0.6826143331903705,-0.7,1.0,125.0,1.0,5875.0,1,1.0,0.0
49,49,-0.1292657570139638,-0.1,0.0,125.0,1.0,2825.0,0,0.0,1.0
50,50,0.02007199255033587,0.0,0.0,125.0,0.0,5875.0,1,1.0,1.0
51,51,0.19345999393921287,0.2,0.0,125.0,0.0,5875.0,1,1.0,1.0
52,52,0.6079989859078535,0.6,1.0,125.0,1.0,5875.0,1,0.0,1.0
53,53,-0.1534939090868901,-0.2,1.0,125.0,0.0,5875.0,0,1.0,1.0
54,54,-0.13666797290840293,-0.1,1.0,125.0,0.0,5875.0,0,1.0,1.0
55,55,-0.09305668908903497,-0.1,0.0,125.0,0.0,5875.0,1,0.0,0.0
56,56,-0.2173980247435745,-0.2,1.0,125.0,1.0,5875.0,1,1.0,0.0
57,57,-0.5852835719398661,-0.6,0.0,125.0,0.0,5875.0,1,0.0,0.0
58,58,-0.305425159893395,-0.3,0.0,125.0,1.0,5875.0,0,0.0,1.0
59,59,0.32007489631690456,0.3,1.0,125.0,1.0,5875.0,1,0.0,1.0
60,60,0.16503303830554839,0.2,0.0,125.0,0.0,5875.0,1,1.0,1.0
