,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,green_side,chosen_color
0,0,0.6706776824484527,0.7,0.0,349.0,876.0,0.0,125.0,1,1.0,1.0
1,1,0.2960485787344721,0.3,1.0,436.0,904.0,1.0,540.0,1,0.0,1.0
2,2,0.34732717429946225,0.3,1.0,257.0,678.0,1.0,145.0,1,0.0,1.0
3,3,0.0878198221275982,0.1,1.0,281.0,907.0,1.0,2242.0,1,0.0,1.0
4,4,-0.5971449583320234,-0.6,0.0,300.0,924.0,0.0,346.0,1,0.0,0.0
5,5,-0.8553433453921153,-0.9,0.0,396.0,631.0,0.0,143.0,1,0.0,0.0
6,6,-0.19454031360515034,-0.2,0.0,429.0,620.0,0.0,511.0,1,0.0,0.0
7,7,0.5083140824788231,0.5,0.0,327.0,987.0,1.0,-314.0,0,1.0,0.0
8,8,-0.4720804210195604,-0.5,0.0,417.0,782.0,0.0,71.0,1,0.0,0.0
9,9,-0.1474936181232468,-0.1,0.0,387.0,924.0,0.0,279.0,1,0.0,0.0
10,10,-0.05290472371478294,-0.1,0.0,482.0,734.0,0.0,594.0,1,0.0,0.0
11,11,0.17585795429379936,0.2,1.0,433.0,552.0,1.0,855.0,1,0.0,1.0
12,12,-0.15811561834157084,-0.2,0.0,284.0,764.0,0.0,1362.0,1,0.0,0.0
13,13,0.83570602072405,0.8,1.0,324.0,874.0,1.0,82.0,1,0.0,1.0
14,14,0.22927704077668432,0.2,0.0,324.0,798.0,0.0,448.0,1,1.0,1.0
15,15,0.6175390166087676,0.6,1.0,480.0,606.0,1.0,134.0,1,0.0,1.0
16,16,-0.47496150250477825,-0.5,1.0,303.0,513.0,1.0,294.0,1,1.0,0.0
17,17,-0.36129605550999866,-0.4,1.0,492.0,543.0,1.0,145.0,1,1.0,0.0
18,18,0.27194752089807095,0.3,1.0,252.0,531.0,1.0,497.0,1,0.0,1.0
19,19,0.389804042683901,0.4,0.0,479.0,630.0,0.0,201.0,1,1.0,1.0
20,20,-0.597339268545364,-0.6,1.0,310.0,589.0,1.0,111.0,1,1.0,0.0
21,21,-0.8880678403701464,-0.9,0.0,496.0,655.0,0.0,379.0,1,0.0,0.0
22,22,0.028373183810122993,0.0,0.0,372.0,798.0,0.0,1100.0,1,1.0,1.0
23,23,-0.7018114246974498,-0.7,1.0,282.0,798.0,1.0,180.0,1,1.0,0.0
24,24,-0.8457456657659862,-0.8,1.0,383.0,972.0,1.0,155.0,1,1.0,0.0
25,25,0.43509489089045583,0.4,1.0,280.0,787.0,1.0,283.0,1,0.0,1.0
26,26,0.737554331979085,0.7,1.0,381.0,764.0,1.0,105.0,1,0.0,1.0
27,27,0.6035200032503408,0.6,1.0,260.0,959.0,1.0,61.0,1,0.0,1.0
28,28,-0.33362947333312976,-0.3,0.0,449.0,907.0,0.0,654.0,1,0.0,0.0
29,29,0.08537651823148806,0.1,0.0,314.0,814.0,0.0,272.0,1,1.0,1.0
30,30,-0.7756467627090644,-0.8,0.0,450.0,912.0,0.0,8.0,1,0.0,0.0
31,31,0.7885305500552647,0.8,0.0,347.0,666.0,0.0,117.0,1,1.0,1.0
32,32,0.3240751483331913,0.3,1.0,267.0,813.0,1.0,310.0,1,0.0,1.0
33,33,0.18858012544432012,0.2,1.0,342.0,960.0,1.0,1368.0,1,0.0,1.0
34,34,0.19737829744102864,0.2,1.0,344.0,707.0,1.0,649.0,1,0.0,1.0
35,35,0.027415343939762415,0.0,1.0,385.0,841.0,0.0,3774.0,0,0.0,0.0
36,36,0.7074408722323092,0.7,1.0,382.0,838.0,1.0,190.0,1,0.0,1.0
37,37,-0.724171796611152,-0.7,0.0,307.0,786.0,0.0,177.0,1,0.0,0.0
38,38,-0.8829796254082544,-0.9,1.0,289.0,813.0,1.0,218.0,1,1.0,0.0
39,39,0.4711325763741242,0.5,0.0,376.0,914.0,0.0,290.0,1,1.0,1.0
40,40,0.4353121861294694,0.4,1.0,311.0,876.0,1.0,233.0,1,0.0,1.0
41,41,-0.8074448860111778,-0.8,1.0,427.0,725.0,1.0,-342.0,1,1.0,0.0
42,42,0.28056248863782474,0.3,0.0,485.0,617.0,0.0,118.0,1,1.0,1.0
43,43,-0.0587469362467421,-0.1,1.0,395.0,577.0,1.0,2228.0,1,1.0,0.0
44,44,0.6984216993855287,0.7,0.0,257.0,572.0,0.0,91.0,1,1.0,1.0
45,45,0.6230111721239663,0.6,0.0,366.0,821.0,0.0,123.0,1,1.0,1.0
46,46,0.4370972134306129,0.4,0.0,460.0,923.0,0.0,147.0,1,1.0,1.0
47,47,-0.517743621762377,-0.5,0.0,311.0,631.0,0.0,238.0,1,0.0,0.0
48,48,-0.5048006524207993,-0.5,0.0,458.0,687.0,0.0,335.0,1,0.0,0.0
49,49,-0.7883898833336485,-0.8,1.0,370.0,587.0,1.0,233.0,1,1.0,0.0
50,50,0.621138982137626,0.6,1.0,431.0,700.0,1.0,169.0,1,0.0,1.0
51,51,-0.30906967955107323,-0.3,0.0,305.0,876.0,0.0,419.0,1,0.0,0.0
52,52,0.6886127990835519,0.7,1.0,485.0,517.0,0.0,-52.0,0,0.0,0.0
53,53,0.3179284097651528,0.3,0.0,274.0,502.0,0.0,264.0,1,1.0,1.0
54,54,0.7273318337618081,0.7,0.0,280.0,924.0,0.0,56.0,1,1.0,1.0
55,55,-0.2926312643189246,-0.3,1.0,337.0,686.0,1.0,1557.0,1,1.0,0.0
56,56,-0.8673680178775679,-0.9,1.0,482.0,582.0,1.0,136.0,1,1.0,0.0
57,57,0.3129360296152449,0.3,0.0,301.0,655.0,0.0,344.0,1,1.0,1.0
58,58,-0.758383175529041,-0.8,0.0,371.0,973.0,0.0,-74.0,1,0.0,0.0
59,59,-0.5865649851359918,-0.6,1.0,476.0,746.0,1.0,298.0,1,1.0,0.0
60,60,0.6901696584454088,0.7,0.0,341.0,872.0,0.0,137.0,1,1.0,1.0
61,61,-0.023229994389273423,-0.0,0.0,461.0,586.0,0.0,3953.0,1,0.0,0.0
62,62,-0.7490049271357996,-0.7,1.0,315.0,529.0,1.0,236.0,1,1.0,0.0
63,63,0.5307791629029043,0.5,0.0,385.0,547.0,0.0,168.0,1,1.0,1.0
64,64,0.48439678455888535,0.5,1.0,319.0,882.0,1.0,359.0,1,0.0,1.0
65,65,-0.04427123863676541,-0.0,1.0,332.0,791.0,1.0,3877.0,1,1.0,0.0
66,66,0.1958922742543866,0.2,1.0,381.0,599.0,1.0,680.0,1,0.0,1.0
67,67,-0.37039666773948743,-0.4,1.0,262.0,633.0,1.0,365.0,1,1.0,0.0
68,68,-0.8764549671860179,-0.9,0.0,313.0,890.0,0.0,337.0,1,0.0,0.0
69,69,-0.14213939796593988,-0.1,1.0,339.0,996.0,1.0,1845.0,1,1.0,0.0
70,70,-0.7420524451744701,-0.7,0.0,371.0,697.0,0.0,212.0,1,0.0,0.0
