,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,-0.70022209440486,-0.7,1,443.0,994.0,1.0,223.0,1
1,1,-0.6970384871926343,-0.7,1,360.0,730.0,1.0,210.0,1
2,2,-0.20589654417060843,-0.2,1,404.0,521.0,1.0,445.0,1
3,3,-0.8213888520169164,-0.8,1,302.0,712.0,1.0,436.0,1
4,4,-0.4038748307698501,-0.4,1,395.0,800.0,1.0,795.0,1
5,5,-0.6503164950547782,-0.7,1,413.0,669.0,1.0,1678.0,1
6,6,0.00021879673135405397,0.0,0,446.0,928.0,1.0,906.0,0
7,7,-0.359846669467188,-0.4,1,378.0,687.0,1.0,255.0,1
8,8,-0.646374523717665,-0.6,1,346.0,705.0,1.0,539.0,1
9,9,-0.9748326296652843,-1.0,1,371.0,825.0,1.0,624.0,1
10,10,-0.06945794767805369,-0.1,1,468.0,990.0,1.0,992.0,1
11,11,-0.1620437019868719,-0.2,1,333.0,854.0,1.0,633.0,1
12,12,0.23839522400372393,0.2,0,371.0,893.0,1.0,326.0,0
13,13,-0.971107929954315,-1.0,1,417.0,537.0,1.0,736.0,1
14,14,0.8461558900734596,0.8,0,433.0,787.0,0.0,300.0,1
15,15,0.8002923541689404,0.8,0,352.0,813.0,0.0,595.0,1
16,16,-0.9299588549700926,-0.9,1,417.0,791.0,1.0,112.0,1
17,17,-0.0024226181518445244,-0.0,1,264.0,560.0,0.0,826.0,0
18,18,-0.36788541618366244,-0.4,1,302.0,565.0,1.0,153.0,1
19,19,0.6644928497974054,0.7,0,492.0,542.0,0.0,856.0,1
20,20,0.054876719528650364,0.1,0,495.0,822.0,1.0,483.0,0
21,21,0.8873068842406218,0.9,0,435.0,655.0,0.0,170.0,1
22,22,-0.5346928784958997,-0.5,1,297.0,931.0,1.0,192.0,1
23,23,0.004346912886746379,0.0,0,455.0,694.0,1.0,551.0,0
24,24,-0.039347966296884085,-0.0,1,353.0,633.0,1.0,254.0,1
25,25,0.8129087093500196,0.8,0,373.0,901.0,0.0,806.0,1
26,26,-0.952202086709004,-1.0,1,343.0,537.0,1.0,160.0,1
27,27,-0.9376303176758614,-0.9,1,276.0,692.0,1.0,292.0,1
28,28,-0.6892878130689262,-0.7,1,424.0,611.0,1.0,165.0,1
29,29,0.10613040518732109,0.1,0,299.0,546.0,1.0,305.0,0
30,30,0.004180319460064252,0.0,0,364.0,927.0,1.0,1049.0,0
31,31,0.6095578684581924,0.6,0,482.0,607.0,0.0,331.0,1
32,32,0.17485012332568584,0.2,0,434.0,927.0,1.0,319.0,0
33,33,0.4074605116776093,0.4,0,482.0,764.0,0.0,394.0,1
34,34,0.8966244745523944,0.9,0,494.0,586.0,0.0,400.0,1
35,35,0.8928002528817398,0.9,0,496.0,563.0,0.0,791.0,1
36,36,-0.24216645137872628,-0.2,1,436.0,937.0,1.0,247.0,1
37,37,0.9252772880134412,0.9,0,466.0,556.0,0.0,348.0,1
38,38,-0.5905631799222002,-0.6,1,355.0,586.0,1.0,299.0,1
39,39,0.297254245581398,0.3,0,459.0,767.0,0.0,1054.0,1
40,40,0.2115219162489319,0.2,0,354.0,596.0,0.0,1060.0,1
41,41,0.4525088193798692,0.5,0,351.0,602.0,0.0,1597.0,1
42,42,-0.11835766112019441,-0.1,1,415.0,943.0,1.0,782.0,1
43,43,-0.8436542359950034,-0.8,1,467.0,677.0,1.0,106.0,1
44,44,0.8796201638405026,0.9,0,384.0,947.0,1.0,229.0,0
45,45,-0.2240207558406866,-0.2,1,363.0,640.0,1.0,977.0,1
46,46,-0.1046918300940205,-0.1,1,439.0,636.0,1.0,1025.0,1
47,47,0.6874713998239568,0.7,0,368.0,904.0,0.0,338.0,1
48,48,0.3325500340966887,0.3,0,394.0,780.0,1.0,176.0,0
49,49,0.40687788068931496,0.4,0,276.0,822.0,0.0,222.0,1
50,50,-0.9290838841400229,-0.9,1,432.0,661.0,1.0,477.0,1
51,51,-0.7165412475258766,-0.7,1,499.0,727.0,1.0,194.0,1
52,52,-0.01957116759733979,-0.0,1,479.0,863.0,1.0,948.0,1
53,53,-0.9809493674177834,-1.0,1,359.0,793.0,1.0,278.0,1
54,54,-0.8260474131932687,-0.8,1,392.0,600.0,1.0,1118.0,1
55,55,0.9997486229448227,1.0,0,324.0,960.0,0.0,136.0,1
56,56,0.7306190577106462,0.7,0,395.0,671.0,0.0,274.0,1
57,57,0.0811023546662577,0.1,0,311.0,708.0,0.0,1051.0,1
58,58,-0.24948008121755572,-0.2,1,434.0,967.0,1.0,589.0,1
59,59,0.3878212024898069,0.4,0,271.0,941.0,0.0,428.0,1
60,60,0.2564568999672221,0.3,0,272.0,500.0,0.0,158.0,1
61,61,0.7471203765565804,0.7,0,395.0,968.0,0.0,1137.0,1
62,62,0.8018340667762065,0.8,0,372.0,963.0,0.0,305.0,1
63,63,0.6965134159150188,0.7,0,475.0,557.0,0.0,248.0,1
64,64,-0.002241929480271132,-0.0,1,499.0,949.0,1.0,712.0,1
65,65,-0.32205442515437066,-0.3,1,311.0,507.0,1.0,812.0,1
66,66,-0.09187632053615902,-0.1,1,455.0,813.0,1.0,472.0,1
67,67,0.6471981298493619,0.6,0,426.0,853.0,0.0,361.0,1
68,68,-0.8603280476944095,-0.9,1,464.0,706.0,1.0,300.0,1
69,69,0.2000835143552182,0.2,0,452.0,671.0,1.0,347.0,0
70,70,-0.5648662751022118,-0.6,1,404.0,927.0,1.0,499.0,1
71,71,-0.648421633285954,-0.6,1,288.0,669.0,1.0,533.0,1
72,72,0.7036255942139493,0.7,0,298.0,937.0,0.0,525.0,1
73,73,-0.4625797657659676,-0.5,1,338.0,939.0,1.0,1013.0,1
74,74,-0.4554477773714525,-0.5,1,354.0,899.0,1.0,1837.0,1
75,75,-0.9368343339813221,-0.9,1,407.0,790.0,1.0,413.0,1
76,76,-0.9672617774555294,-1.0,1,378.0,529.0,1.0,573.0,1
77,77,0.9770160972529605,1.0,0,283.0,891.0,0.0,516.0,1
78,78,0.806542051704672,0.8,0,497.0,814.0,0.0,259.0,1
79,79,0.033258908612507465,0.0,0,441.0,528.0,1.0,351.0,0
80,80,0.9250853622671324,0.9,0,371.0,515.0,0.0,724.0,1
81,81,-0.6325630715620278,-0.6,1,327.0,758.0,1.0,315.0,1
82,82,0.7570844070355185,0.8,0,431.0,904.0,0.0,135.0,1
83,83,-0.8517233736927305,-0.9,1,435.0,991.0,1.0,664.0,1
84,84,-0.007806805537232231,-0.0,1,495.0,872.0,1.0,1393.0,1
85,85,0.5157797842167304,0.5,0,451.0,502.0,0.0,277.0,1
86,86,0.10348070839229795,0.1,0,277.0,968.0,1.0,2535.0,0
87,87,0.4846091265632224,0.5,0,318.0,541.0,0.0,291.0,1
88,88,0.735022629468495,0.7,0,434.0,792.0,0.0,794.0,1
89,89,0.6873908986560464,0.7,0,250.0,959.0,1.0,161.0,0
90,90,0.8212462703315331,0.8,0,290.0,504.0,0.0,206.0,1
91,91,0.7091915419831023,0.7,0,450.0,876.0,0.0,404.0,1
92,92,0.2858012257019735,0.3,0,378.0,516.0,0.0,346.0,1
93,93,-0.6639550929161613,-0.7,1,416.0,652.0,1.0,652.0,1
94,94,-0.3534272716078528,-0.4,1,457.0,622.0,1.0,681.0,1
95,95,0.655871301915711,0.7,0,474.0,518.0,0.0,948.0,1
96,96,-0.7322273014361369,-0.7,1,334.0,992.0,1.0,164.0,1
97,97,-0.564883970068969,-0.6,1,411.0,783.0,1.0,326.0,1
98,98,-0.8284965662171417,-0.8,1,473.0,519.0,1.0,78.0,1
99,99,-0.702182218687947,-0.7,1,475.0,893.0,1.0,152.0,1
100,100,-0.06127301063621604,-0.1,1,337.0,844.0,1.0,449.0,1
101,101,0.8532238196160973,0.9,0,448.0,598.0,0.0,244.0,1
102,102,0.34271211143020075,0.3,0,360.0,783.0,0.0,377.0,1
103,103,0.7655825451056406,0.8,0,393.0,775.0,0.0,452.0,1
104,104,0.7810342009920404,0.8,0,275.0,672.0,0.0,163.0,1
105,105,0.8737912821738232,0.9,0,356.0,910.0,0.0,704.0,1
106,106,-0.8955598703440995,-0.9,1,254.0,722.0,1.0,164.0,1
107,107,0.09104974160023338,0.1,0,407.0,915.0,0.0,2528.0,1
108,108,-0.7379006171711648,-0.7,1,391.0,965.0,1.0,134.0,1
109,109,-0.9096207890519141,-0.9,1,362.0,564.0,1.0,554.0,1
110,110,-0.8830398593319084,-0.9,1,282.0,752.0,1.0,196.0,1
111,111,0.747059886730119,0.7,0,412.0,779.0,0.0,559.0,1
112,112,-0.027362532229430636,-0.0,1,400.0,525.0,1.0,945.0,1
113,113,-0.9377728921706276,-0.9,1,326.0,613.0,1.0,121.0,1
114,114,-0.13082551846099988,-0.1,1,494.0,508.0,1.0,358.0,1
115,115,-0.7019583755747754,-0.7,1,335.0,632.0,1.0,323.0,1
116,116,-0.8230746798736057,-0.8,1,265.0,753.0,1.0,502.0,1
117,117,-0.23704489260165773,-0.2,1,475.0,695.0,0.0,760.0,0
118,118,-0.021697190625384666,-0.0,1,470.0,528.0,1.0,1302.0,1
119,119,-0.6869479145495949,-0.7,1,464.0,953.0,1.0,233.0,1
120,120,-0.9083937085517817,-0.9,1,405.0,606.0,1.0,219.0,1
121,121,-0.016088938320424573,-0.0,1,431.0,904.0,0.0,165.0,0
122,122,0.14988237737267474,0.1,0,460.0,735.0,0.0,555.0,1
