,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
0,0,-0.8219679478371382,-0.8,1,470.0,755.0,1.0,255.0,1,53.409615648858534
1,1,-0.38020304001867156,-0.4,1,357.0,579.0,1.0,644.0,1,185.93908799439853
2,2,-0.3270034961110617,-0.3,1,292.0,951.0,1.0,1047.0,1,201.89895116668148
3,3,0.1754155720412527,0.2,0,322.0,963.0,0.0,1225.0,1,247.3753283876242
4,4,-0.5630897437188276,-0.6,1,473.0,768.0,1.0,409.0,1,131.07307688435174
5,5,-0.520531139682006,-0.5,1,430.0,532.0,1.0,388.0,1,143.8406580953982
6,6,0.5080320368709257,0.5,0,387.0,765.0,0.0,458.0,1,147.5903889387223
7,7,0.4549478905711193,0.5,0,273.0,512.0,0.0,505.0,1,163.51563282866422
8,8,-0.6820364824262193,-0.7,1,480.0,547.0,1.0,343.0,1,95.38905527213421
9,9,0.70995351016393,0.7,0,478.0,725.0,0.0,387.0,1,87.01394695082098
10,10,-0.9650650608755327,-1.0,1,475.0,844.0,1.0,161.0,1,10.480481737340197
11,11,0.47546208914695476,0.5,0,361.0,682.0,0.0,507.0,1,157.36137325591358
12,12,0.5718149552906999,0.6,0,265.0,884.0,0.0,481.0,1,128.45551341279003
13,13,0.5307258213315664,0.5,0,284.0,653.0,0.0,413.0,1,140.78225360053008
14,14,-0.7838471336647754,-0.8,1,267.0,626.0,1.0,257.0,1,64.84585990056738
15,15,0.661658628658335,0.7,0,439.0,692.0,0.0,379.0,1,101.50241140249949
16,16,-0.3003106187703253,-0.3,1,411.0,923.0,1.0,526.0,1,209.90681436890242
17,17,-0.2951609378580433,-0.3,1,330.0,854.0,1.0,476.0,1,211.451718642587
18,18,-0.17384132580745582,-0.2,1,378.0,778.0,1.0,1064.0,1,247.84760225776324
19,19,0.49581275353023946,0.5,0,399.0,537.0,0.0,374.0,1,151.25617394092816
20,20,-0.34447807840504563,-0.3,1,485.0,700.0,1.0,585.0,1,196.6565764784863
21,21,-0.7276339795732616,-0.7,1,445.0,739.0,1.0,266.0,1,81.70980612802153
22,22,-0.8281093487101245,-0.8,1,361.0,990.0,1.0,339.0,1,51.56719538696264
23,23,-0.02401460511108988,-0.0,1,423.0,711.0,1.0,1576.0,1,292.79561846667303
