,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.7023393504705571,0.7,0,252.0,987.0,0.0,261.0,1,0.08988813499363768,0.0
1,1,-0.44619487890951204,-0.4,1,392.0,612.0,1.0,266.0,1,0.12969354048357962,0.0
2,2,0.9204580837282261,0.9,0,372.0,768.0,0.0,140.0,1,0.5471423220722997,0.0
3,3,0.5519378863601909,0.6,0,422.0,633.0,0.0,255.0,1,0.44758263118699404,0.0
4,4,-0.35679249881181185,-0.4,1,276.0,762.0,1.0,252.0,1,0.7768717194903191,0.0
5,5,-0.6839981159260073,-0.7,1,478.0,624.0,1.0,268.0,1,0.48141238462128955,0.0
6,6,0.029533758347077388,0.0,0,279.0,938.0,0.0,1673.0,1,0.007225968137936745,0.0
7,7,-0.8312467399929044,-0.8,1,259.0,825.0,1.0,156.0,1,0.7330932456441751,0.0
8,8,-0.8286528447697215,-0.8,1,274.0,543.0,1.0,293.0,1,0.038175999015968465,0.0
9,9,0.5083152611540969,0.5,0,465.0,897.0,0.0,308.0,1,0.05096043453142074,0.0
10,10,0.6579717948342545,0.7,0,313.0,550.0,0.0,247.0,1,0.6829644962101992,0.0
11,11,0.926221700179243,0.9,0,271.0,892.0,0.0,187.0,1,0.13641146953771677,0.0
12,12,-0.3102673536821674,-0.3,1,428.0,774.0,1.0,318.0,1,0.47382025182097665,0.0
13,13,0.5785227524358534,0.6,0,262.0,721.0,0.0,227.0,1,0.7059528399963991,0.0
14,14,-0.22806920070515901,-0.2,1,458.0,713.0,1.0,429.0,1,0.32421203761266393,0.0
15,15,-0.9310755089128646,-0.9,1,254.0,757.0,1.0,329.0,1,0.16323313487183133,0.0
16,16,0.36993993749494725,0.4,0,439.0,509.0,0.0,312.0,1,0.8783907431166313,0.0
17,17,-0.6489771895395426,-0.6,1,258.0,971.0,1.0,151.0,1,0.7120277170480609,0.0
18,18,0.43182941619533755,0.4,0,498.0,952.0,0.0,340.0,1,0.6870148041168704,0.0
19,19,0.04134863507015929,0.0,0,422.0,698.0,0.0,1120.0,1,0.4668860953072258,0.0
20,20,0.9469585927726807,0.9,0,490.0,680.0,0.0,230.0,1,0.32028336456278483,0.0
