,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,gain
0,0,-0.4987136376592296,-0.5,1,415.0,864.0,0.0,721.0,0,0.15105792055265288
1,1,0.2249418611759748,0.2,1,394.0,646.0,1.0,3960.0,1,0.15649769203937314
2,2,0.8044561392186418,0.8,0,272.0,740.0,1.0,138.0,0,0.9733895652796887
3,3,-0.8437567971293762,-0.8,1,397.0,857.0,0.0,276.0,0,0.22800874354606027
4,4,-0.5038057644646243,-0.5,1,278.0,734.0,0.0,228.0,0,0.7748735270104529
5,5,-0.7118328408093619,-0.7,1,306.0,541.0,0.0,333.0,0,0.2748628670958433
6,6,0.9884795684285461,1.0,0,317.0,768.0,1.0,205.0,0,0.8709862093704671
7,7,-0.6337168595484126,-0.6,1,444.0,501.0,0.0,245.0,0,0.3627056712274349
8,8,0.7200777573811026,0.7,0,365.0,674.0,1.0,201.0,0,0.8600625266797608
9,9,-0.9584047590333615,-1.0,1,288.0,823.0,0.0,239.0,0,0.5376385777984638
10,10,-0.3547343112625496,-0.4,1,346.0,977.0,0.0,807.0,0,0.11300782471825344
11,11,0.4990682524538299,0.5,1,290.0,896.0,1.0,184.0,1,0.5774089243289828
12,12,0.8960437348009183,0.9,0,370.0,900.0,1.0,170.0,0,0.5755255282447932
13,13,0.9955250785689351,1.0,0,269.0,947.0,1.0,74.0,0,0.5967579983822574
14,14,0.47369273551918356,0.5,1,475.0,984.0,1.0,351.0,1,0.5178012342654914
15,15,-0.5931315543444706,-0.6,1,469.0,829.0,0.0,342.0,0,0.1860159094073086
16,16,0.48004684448213153,0.5,1,330.0,934.0,1.0,266.0,1,0.07974238274436363
17,17,-0.8829469889191779,-0.9,1,384.0,585.0,0.0,261.0,0,0.04155733558136521
18,18,0.7713766259941468,0.8,0,415.0,665.0,1.0,410.0,0,0.016690096988200676
19,19,0.03655955570035907,0.0,1,306.0,633.0,0.0,3971.0,0,0.4937600098566086
20,20,-0.7796281060565935,-0.8,1,463.0,653.0,0.0,214.0,0,0.339615634185535
21,21,-0.9290170389435075,-0.9,1,415.0,692.0,0.0,223.0,0,0.3208660560022666
22,22,-0.8773629195728951,-0.9,1,275.0,582.0,0.0,203.0,0,0.4173039753364487
23,23,0.10066193011964875,0.1,1,473.0,856.0,0.0,3671.0,0,0.163983914113923
24,24,0.4101526896698926,0.4,1,365.0,887.0,1.0,1418.0,1,0.036641590317689876
25,25,0.822127142453543,0.8,0,449.0,701.0,1.0,240.0,0,0.13504177702628717
26,26,0.6552434105490943,0.7,0,429.0,803.0,1.0,158.0,0,0.8212098545861849
27,27,-0.19437250238443893,-0.2,1,252.0,570.0,0.0,998.0,0,0.636047243260017
28,28,0.2242940266756046,0.2,1,343.0,639.0,1.0,218.0,1,0.9664448809748256
29,29,0.357877543673385,0.4,1,261.0,880.0,1.0,349.0,1,0.9170381844224172
30,30,-0.3087807523272996,-0.3,1,387.0,616.0,0.0,727.0,0,0.3049706239481228
31,31,-0.11069439685640892,-0.1,1,276.0,531.0,0.0,643.0,0,0.15915017090205008
32,32,-0.36262126283113005,-0.4,1,304.0,568.0,0.0,648.0,0,0.34960541116728705
33,33,-0.6806227005306855,-0.7,1,364.0,615.0,0.0,381.0,0,0.10386426739999677
34,34,-0.8038365418822253,-0.8,1,392.0,792.0,0.0,166.0,0,0.5260378628806054
35,35,0.13542945423245256,0.1,1,307.0,971.0,1.0,3722.0,1,0.2717071084788083
36,36,-0.5786951417219863,-0.6,1,442.0,866.0,0.0,382.0,0,0.10062946731595446
37,37,-0.7160360982817555,-0.7,1,302.0,638.0,0.0,220.0,0,0.5129320733342144
38,38,0.7816890068450295,0.8,0,304.0,873.0,1.0,333.0,0,0.2558178368630023
39,39,-0.33339107458664463,-0.3,1,267.0,508.0,0.0,295.0,0,0.8009920327310344
40,40,0.8788838246307926,0.9,0,348.0,613.0,1.0,349.0,0,0.6270168437849689
41,41,0.18120902271175332,0.2,1,435.0,538.0,1.0,527.0,1,0.13337058972301252
42,42,0.7111397700080646,0.7,0,343.0,857.0,1.0,400.0,0,0.037770839366857545
43,43,0.3767004924878936,0.4,1,496.0,731.0,1.0,713.0,1,0.16615832564202637
44,44,-0.9067373277801793,-0.9,1,435.0,754.0,0.0,351.0,0,0.03389838795213518
