,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.5442893842539536,0.5,True,310.0,849.0,1.0,461.0,1
1,1,-0.5767241008227264,-0.6,False,486.0,836.0,0.0,178.0,1
2,2,0.10341846051313719,0.1,True,320.0,597.0,0.0,4083.0,0
3,3,0.9644617859002,1.0,True,289.0,737.0,1.0,564.0,1
4,4,0.8007169324145518,0.8,True,469.0,582.0,1.0,1499.0,1
5,5,-0.6099459775948761,-0.6,False,350.0,722.0,0.0,138.0,1
6,6,-0.33371425131178856,-0.3,False,403.0,590.0,0.0,417.0,1
7,7,0.39859697980653674,0.4,True,310.0,536.0,1.0,1524.0,1
8,8,-0.35569760673492934,-0.4,False,319.0,939.0,0.0,2862.0,1
9,9,0.9084619259335982,0.9,True,482.0,996.0,1.0,252.0,1
10,10,-0.9160284805952588,-0.9,False,432.0,925.0,0.0,483.0,1
11,11,-0.29378599240292735,-0.3,False,253.0,579.0,0.0,2568.0,1
12,12,0.4461782157499108,0.4,True,292.0,980.0,1.0,918.0,1
13,13,-0.7832568482654172,-0.8,False,474.0,617.0,0.0,259.0,1
14,14,0.5648689989961868,0.6,True,384.0,793.0,1.0,213.0,1
15,15,0.5032637239936686,0.5,True,492.0,831.0,1.0,227.0,1
16,16,-0.49103660828538787,-0.5,False,484.0,673.0,0.0,1573.0,1
17,17,-0.03897869176984381,-0.0,False,424.0,742.0,0.0,3094.0,1
18,18,-0.09717811310930702,-0.1,False,407.0,764.0,0.0,219.0,1
19,19,-0.5288552774473663,-0.5,False,348.0,501.0,0.0,131.0,1
20,20,0.3240339118922595,0.3,True,336.0,838.0,1.0,626.0,1
21,21,0.7746543505743555,0.8,True,281.0,855.0,1.0,284.0,1
22,22,-0.572015022072021,-0.6,False,357.0,635.0,0.0,1378.0,1
23,23,-0.47827088367062487,-0.5,False,382.0,982.0,0.0,386.0,1
24,24,-0.9312677582989177,-0.9,False,274.0,994.0,0.0,362.0,1
25,25,-0.625508408740749,-0.6,False,466.0,813.0,0.0,91.0,1
26,26,-0.8789677150849204,-0.9,False,471.0,890.0,0.0,309.0,1
