,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,0.7082616276559246,0.7,0,254.0,825.0,0.0,381.0,1,0.38350498098049873,0.0
1,1,-0.1509589222990837,-0.2,1,401.0,632.0,1.0,817.0,1,0.5487252002263412,0.0
2,2,0.7758847620810567,0.8,0,263.0,551.0,0.0,-274.0,1,0.5968868921823127,0.0
3,3,-0.5697173481720375,-0.6,1,412.0,986.0,1.0,162.0,1,0.4857315611319833,0.0
4,4,-0.9606990627489032,-1.0,1,269.0,676.0,1.0,105.0,1,0.44390195373542357,0.0
5,5,-0.43614758867570735,-0.4,1,354.0,706.0,1.0,3940.0,1,0.31399486717252184,0.0
6,6,-0.1422112592620619,-0.1,1,299.0,632.0,1.0,129.0,1,0.5508368902574179,0.0
7,7,-0.8289012838724539,-0.8,1,344.0,953.0,0.0,-757.0,0,0.5754371430812172,0.0
8,8,-0.6011913892872607,-0.6,1,449.0,848.0,0.0,-607.0,0,0.5743591667125922,0.0
9,9,0.79966506314803,0.8,0,325.0,620.0,0.0,265.0,1,0.5414857043772104,0.0
10,10,-0.8658985619815021,-0.9,1,323.0,710.0,1.0,187.0,1,0.36780677126738875,0.0
11,11,-0.03699337685559212,-0.0,1,261.0,924.0,0.0,465.0,0,0.5234695434714542,0.0
12,12,-0.844331971803951,-0.8,1,379.0,901.0,1.0,60.0,1,0.5165456493550332,0.0
13,13,-0.761517765174409,-0.8,1,263.0,529.0,1.0,88.0,1,0.510167404688993,0.0
14,14,0.911869264791336,0.9,0,396.0,915.0,0.0,189.0,1,0.5676809201190938,0.0
15,15,0.8407834292088971,0.8,0,366.0,687.0,0.0,-403.0,1,0.5370488054245748,0.0
16,16,0.5238420236664347,0.5,0,357.0,756.0,0.0,297.0,1,0.4091779048795118,0.0
17,17,-0.6385675545976957,-0.6,1,491.0,830.0,1.0,49.0,1,0.5319102121969392,0.0
18,18,0.06339064404100392,0.1,0,347.0,918.0,1.0,-685.0,0,0.5578675392457443,0.0
19,19,-0.32784149197794443,-0.3,1,309.0,726.0,1.0,-865.0,1,0.5799422863390045,0.0
20,20,0.6170375195297124,0.6,0,363.0,893.0,0.0,164.0,1,0.4744489562790176,0.0
21,21,-0.2650676757629957,-0.3,1,321.0,636.0,1.0,4043.0,1,0.3702068982282487,0.0
22,22,0.41921643886627846,0.4,0,476.0,795.0,1.0,-531.0,0,0.5018320995473802,0.0
23,23,-0.6683177811373209,-0.7,1,316.0,820.0,1.0,1414.0,1,0.3432427575341331,0.0
24,24,0.8212693595054052,0.8,0,280.0,866.0,0.0,314.0,1,0.3850941379176765,0.0
25,25,0.8892973965449305,0.9,0,376.0,680.0,1.0,-366.0,0,0.4689217008173362,0.0
26,26,-0.5528048314936527,-0.6,1,337.0,728.0,1.0,295.0,1,0.4259088157299084,0.0
27,27,0.5552016074255532,0.6,0,395.0,851.0,0.0,604.0,1,0.3911975331886163,0.0
28,28,-0.6953368681437009,-0.7,1,328.0,603.0,1.0,879.0,1,0.34236258339487635,0.0
29,29,0.4609295356996721,0.5,0,452.0,869.0,0.0,1339.0,1,0.34349697338422314,0.0
30,30,-0.839945386442086,-0.8,1,270.0,541.0,1.0,299.0,1,0.4336150874858594,0.0
31,31,-0.4544428517188557,-0.5,1,276.0,954.0,1.0,410.0,1,0.380347751873711,0.0
32,32,-0.8370080496526942,-0.8,1,484.0,653.0,1.0,-857.0,1,0.5953848207109713,0.0
33,33,0.6969135463698368,0.7,0,302.0,529.0,0.0,239.0,1,0.46839420382514185,0.0
34,34,0.5107713841187049,0.5,0,332.0,887.0,1.0,-729.0,0,0.566143641515421,0.0
35,35,-0.6823235115952826,-0.7,1,459.0,855.0,1.0,26.0,1,0.5678912518010091,0.0
36,36,0.9967008708149137,1.0,0,478.0,700.0,0.0,1102.0,1,0.3005323474242156,0.0
37,37,-0.6523185877143287,-0.7,1,408.0,714.0,1.0,1088.0,1,0.34211852224717537,0.0
38,38,0.8466992513312896,0.8,0,463.0,916.0,0.0,261.0,1,0.35905042778413343,0.0
39,39,-0.39626840987902123,-0.4,1,420.0,697.0,1.0,183.0,1,0.3838587446209609,0.0
40,40,-0.29285097103185764,-0.3,1,333.0,976.0,1.0,-319.0,1,0.5196846750278503,0.0
41,41,-0.7253112264623025,-0.7,1,255.0,764.0,1.0,-39.0,1,0.5225280261003411,0.0
42,42,0.12495089149719374,0.1,0,297.0,734.0,1.0,-351.0,0,0.5499511883166076,0.0
43,43,-0.030247498104343462,-0.0,1,271.0,781.0,0.0,298.0,0,0.42240566286711045,0.0
44,44,-0.5340582925633539,-0.5,1,436.0,838.0,1.0,-884.0,1,0.5053527580955176,0.0
45,45,0.47163485544203354,0.5,0,310.0,773.0,1.0,-513.0,0,0.5230207322047644,0.0
46,46,0.9661081373473919,1.0,0,262.0,712.0,0.0,186.0,1,0.33037733518017937,0.0
47,47,-0.03852301944798553,-0.0,1,481.0,733.0,0.0,-1054.0,0,0.57124481623345,0.0
48,48,-0.9406059811302632,-0.9,1,309.0,967.0,1.0,-1116.0,1,0.5603580919912021,0.0
49,49,-0.33748539885624407,-0.3,1,387.0,503.0,1.0,-700.0,1,0.5447190331299846,0.0
