,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.8566945750110291,0.9,0,371.0,638.0,0.0,671.0,1
1,1,-0.02854171398511074,-0.0,1,465.0,789.0,1.0,3146.0,1
2,2,-0.2761585165777305,-0.3,1,287.0,809.0,0.0,2014.0,0
3,3,0.4631291368373711,0.5,0,351.0,748.0,0.0,501.0,1
4,4,-0.3024755948355027,-0.3,1,316.0,846.0,1.0,208.0,1
5,5,0.42219603813581363,0.4,0,453.0,664.0,0.0,2353.0,1
6,6,0.24401566275812825,0.2,0,490.0,822.0,0.0,1338.0,1
7,7,0.3657825402228414,0.4,0,377.0,602.0,0.0,1201.0,1
8,8,0.20246009006518162,0.2,0,259.0,679.0,0.0,1892.0,1
9,9,0.06607436930652089,0.1,0,301.0,641.0,1.0,1438.0,0
10,10,-0.14112925630455853,-0.1,1,283.0,550.0,1.0,537.0,1
11,11,-0.6524248054642026,-0.7,1,283.0,518.0,1.0,419.0,1
12,12,0.46774187086113894,0.5,0,377.0,582.0,1.0,471.0,0
13,13,-0.43556315713272453,-0.4,1,409.0,733.0,1.0,798.0,1
14,14,-0.7806575291463289,-0.8,1,432.0,931.0,1.0,277.0,1
15,15,0.6332317846768851,0.6,0,311.0,643.0,0.0,1156.0,1
16,16,0.34704846319290183,0.3,0,427.0,593.0,0.0,570.0,1
17,17,0.7547057273424738,0.8,0,318.0,925.0,0.0,87.0,1
18,18,-0.47142626959425615,-0.5,1,370.0,568.0,1.0,662.0,1
19,19,-0.55935681037017,-0.6,1,402.0,942.0,1.0,436.0,1
20,20,-0.5533500512443781,-0.6,1,439.0,642.0,1.0,409.0,1
21,21,-0.006207386193783249,-0.0,1,280.0,677.0,0.0,1693.0,0
22,22,0.14769654092903473,0.1,0,267.0,653.0,1.0,2790.0,0
23,23,0.19007986068534555,0.2,0,293.0,914.0,0.0,3793.0,1
24,24,-0.3624874770190498,-0.4,1,320.0,707.0,1.0,463.0,1
25,25,-0.3988205982408024,-0.4,1,353.0,525.0,1.0,312.0,1
26,26,-0.8516688495317157,-0.9,1,437.0,527.0,1.0,206.0,1
27,27,0.21126388739712598,0.2,0,414.0,560.0,0.0,386.0,1
28,28,-0.7689321685153323,-0.8,1,357.0,836.0,1.0,387.0,1
29,29,0.33545672925126646,0.3,0,472.0,530.0,0.0,828.0,1
30,30,0.24253490364795272,0.2,0,330.0,976.0,1.0,3694.0,0
31,31,0.17571829220818191,0.2,0,456.0,816.0,1.0,3468.0,0
32,32,-0.250160410151947,-0.3,1,285.0,960.0,1.0,1765.0,1
33,33,0.8965480338439344,0.9,0,294.0,881.0,0.0,435.0,1
34,34,0.6306348632727552,0.6,0,346.0,678.0,0.0,596.0,1
35,35,-0.4702619423666521,-0.5,1,288.0,770.0,1.0,152.0,1
36,36,-0.43080806584620124,-0.4,1,302.0,667.0,1.0,1221.0,1
