,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
0,0,0.21691542640392858,0.2,0,424.0,927.0,0.0,589.0,1
1,1,0.19269734712463782,0.2,0,389.0,776.0,0.0,1245.0,1
2,2,0.6232604384878704,0.6,0,346.0,688.0,0.0,756.0,1
3,3,-0.2972198916711082,-0.3,1,251.0,654.0,1.0,265.0,1
4,4,0.2951111049349784,0.3,0,280.0,612.0,0.0,2238.0,1
5,5,-0.306938516981331,-0.3,1,418.0,666.0,1.0,506.0,1
6,6,0.882840443482714,0.9,0,337.0,556.0,0.0,287.0,1
7,7,-0.6991615058104619,-0.7,1,326.0,575.0,1.0,739.0,1
8,8,0.7081580565670895,0.7,0,330.0,669.0,0.0,221.0,1
9,9,0.11249767081821416,0.1,0,446.0,500.0,0.0,314.0,1
10,10,0.21607354797755418,0.2,0,277.0,867.0,1.0,796.0,0
11,11,-0.8287183652099825,-0.8,1,314.0,717.0,1.0,299.0,1
12,12,-0.37284422905821124,-0.4,1,436.0,755.0,1.0,609.0,1
13,13,-0.7938663513073265,-0.8,1,371.0,558.0,1.0,1111.0,1
14,14,0.605221762510824,0.6,0,304.0,752.0,0.0,784.0,1
15,15,0.003893730084145064,0.0,0,472.0,852.0,0.0,1326.0,1
16,16,0.739504141249125,0.7,0,431.0,517.0,0.0,492.0,1
17,17,-0.31319000337046443,-0.3,1,499.0,511.0,1.0,1500.0,1
18,18,-0.572904695132143,-0.6,1,476.0,967.0,1.0,307.0,1
19,19,-0.1553973957146071,-0.2,1,326.0,544.0,1.0,490.0,1
20,20,0.5135283147695597,0.5,0,457.0,578.0,0.0,995.0,1
21,21,-0.580437295216677,-0.6,1,322.0,939.0,1.0,829.0,1
22,22,0.7834300821856341,0.8,0,465.0,828.0,0.0,277.0,1
23,23,-0.2653797124941524,-0.3,1,276.0,793.0,0.0,741.0,0
24,24,-0.7739908580198802,-0.8,1,456.0,946.0,1.0,288.0,1
25,25,-0.5868714884603585,-0.6,1,409.0,605.0,1.0,356.0,1
26,26,-0.786807559438258,-0.8,1,493.0,980.0,1.0,707.0,1
27,27,-0.5234263638397274,-0.5,1,468.0,944.0,1.0,338.0,1
28,28,0.7269991156276896,0.7,0,325.0,708.0,0.0,417.0,1
29,29,0.16882179132018793,0.2,0,364.0,957.0,0.0,899.0,1
30,30,-0.95007890529007,-1.0,1,354.0,895.0,1.0,311.0,1
31,31,0.9398556470218107,0.9,0,417.0,836.0,0.0,327.0,1
32,32,0.8558505691202571,0.9,0,473.0,632.0,0.0,705.0,1
33,33,-0.4561450851562714,-0.5,1,432.0,661.0,0.0,677.0,0
34,34,-0.5976715690906038,-0.6,1,497.0,563.0,1.0,370.0,1
35,35,0.5734521052142738,0.6,0,283.0,879.0,0.0,558.0,1
36,36,0.6553421550607761,0.7,0,273.0,907.0,0.0,480.0,1
37,37,-0.17853862326039316,-0.2,1,469.0,925.0,0.0,1346.0,0
38,38,0.3572046029312814,0.4,0,262.0,798.0,0.0,2760.0,1
39,39,-0.05295825277059185,-0.1,1,439.0,594.0,0.0,1817.0,0
40,40,-0.7257299670901447,-0.7,1,428.0,919.0,1.0,343.0,1
41,41,0.02404700090996381,0.0,0,475.0,821.0,1.0,2314.0,0
42,42,0.3009613222781864,0.3,0,432.0,660.0,0.0,1048.0,1
43,43,0.11307875482305918,0.1,0,423.0,622.0,0.0,265.0,1
44,44,0.9999830580473954,1.0,0,298.0,511.0,0.0,761.0,1
45,45,-0.8274910528921331,-0.8,1,259.0,674.0,1.0,387.0,1
46,46,-0.4845729336994833,-0.5,1,406.0,776.0,0.0,588.0,0
47,47,-0.3402275256723073,-0.3,1,292.0,853.0,1.0,625.0,1
48,48,-0.09150985168385772,-0.1,1,413.0,662.0,0.0,725.0,0
49,49,0.45557749446128315,0.5,0,427.0,661.0,0.0,1562.0,1
