,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
0,0,0.7580392251725618,0.8,0,420.0,842.0,0.0,288.0,1,0.02010145468749369,0.02010145468749369
1,1,-0.2754220193868624,-0.3,1,402.0,918.0,1.0,380.0,1,0.3797587632056884,0.3797587632056884
2,2,-0.25198240980039155,-0.3,1,264.0,524.0,1.0,722.0,1,0.24424849857609887,0.24424849857609887
3,3,0.26903475157265033,0.3,0,463.0,810.0,0.0,507.0,1,0.3585727192684826,0.3585727192684826
4,4,-0.021862889418613474,-0.0,1,300.0,503.0,0.0,957.0,0,0.08482512308127332,0.08482512308127332
5,5,-0.727717117134439,-0.7,1,451.0,664.0,1.0,415.0,1,0.408229193373802,0.408229193373802
6,6,-0.7781274889105574,-0.8,1,279.0,994.0,1.0,197.0,1,0.11134804829597544,0.11134804829597544
7,7,-0.22560675124657226,-0.2,1,470.0,994.0,1.0,956.0,1,0.3527257282177128,0.3527257282177128
8,8,-0.910988372039063,-0.9,1,265.0,519.0,1.0,336.0,1,0.2499684458087859,0.2499684458087859
9,9,0.7472108659259966,0.7,0,478.0,923.0,0.0,319.0,1,0.04458333524828095,0.04458333524828095
10,10,0.9975362003327144,1.0,0,287.0,653.0,0.0,260.0,1,0.3576552995601197,0.3576552995601197
11,11,-0.6270282818062738,-0.6,1,461.0,907.0,1.0,252.0,1,0.0656382386508626,0.0656382386508626
12,12,-0.9250545887169621,-0.9,1,310.0,982.0,1.0,248.0,1,0.30331685753556054,0.30331685753556054
13,13,0.009047588570559206,0.0,0,472.0,832.0,1.0,616.0,0,0.43354348586851493,0.43354348586851493
14,14,-0.6182420087256362,-0.6,1,396.0,970.0,1.0,254.0,1,0.07381532191505064,0.07381532191505064
15,15,0.16644807877561996,0.2,0,293.0,964.0,0.0,463.0,1,0.05236058465275034,0.05236058465275034
16,16,0.5452140536439525,0.5,0,264.0,800.0,0.0,316.0,1,0.4922006850571339,0.4922006850571339
17,17,-0.478466026817401,-0.5,1,260.0,989.0,1.0,301.0,1,0.12764015100480958,0.12764015100480958
18,18,-0.6426205695776632,-0.6,1,254.0,628.0,1.0,358.0,1,0.117320799669003,0.117320799669003
19,19,-0.6055002703155627,-0.6,1,283.0,983.0,1.0,274.0,1,0.3489502263104349,0.3489502263104349
20,20,0.5042899668278176,0.5,0,382.0,716.0,0.0,332.0,1,0.2677998355019541,0.2677998355019541
21,21,-0.49862454934155154,-0.5,1,421.0,895.0,1.0,174.0,1,0.17719200024945964,0.17719200024945964
22,22,0.8517891837514002,0.9,0,486.0,824.0,0.0,240.0,1,0.41641784652737035,0.41641784652737035
23,23,-0.7524318833929653,-0.8,1,273.0,724.0,1.0,333.0,1,0.30023642621534374,0.30023642621534374
24,24,0.5167204889621801,0.5,0,442.0,965.0,0.0,253.0,1,0.24857150058751248,0.24857150058751248
25,25,0.7025934059946493,0.7,0,473.0,643.0,0.0,234.0,1,0.315943316537831,0.315943316537831
26,26,0.45616373218320283,0.5,0,417.0,617.0,0.0,946.0,1,0.3803379924595754,0.3803379924595754
27,27,-0.5096918968322524,-0.5,1,392.0,686.0,1.0,442.0,1,0.4080882980202905,0.4080882980202905
28,28,0.6565698244852132,0.7,0,379.0,760.0,0.0,121.0,1,0.09546026820331144,0.09546026820331144
29,29,-0.8356266768341758,-0.8,1,363.0,719.0,1.0,378.0,1,0.3022097441805381,0.3022097441805381
30,30,0.14739572715578353,0.1,0,369.0,651.0,0.0,290.0,1,0.08051798125842824,0.08051798125842824
31,31,-0.01328433979601562,-0.0,1,265.0,953.0,1.0,642.0,1,0.41905332776294935,0.41905332776294935
32,32,0.9710342658397342,1.0,0,253.0,905.0,0.0,202.0,1,0.2806115711248649,0.2806115711248649
33,33,0.3828801038166225,0.4,0,255.0,549.0,0.0,596.0,1,0.23714785639461466,0.23714785639461466
34,34,-0.7995535004708145,-0.8,1,255.0,887.0,1.0,298.0,1,0.4551522410528646,0.4551522410528646
35,35,-0.6532831998489288,-0.7,1,476.0,746.0,1.0,408.0,1,0.0030509393268994822,0.0030509393268994822
36,36,0.1603478359744599,0.2,0,499.0,785.0,0.0,486.0,1,0.371380214265416,0.371380214265416
37,37,0.19183703585880352,0.2,0,294.0,649.0,0.0,1257.0,1,0.15785280345315128,0.15785280345315128
38,38,0.9971550560249802,1.0,0,291.0,847.0,0.0,252.0,1,0.21574264183094688,0.21574264183094688
39,39,-0.7275601561665541,-0.7,1,472.0,899.0,1.0,369.0,1,0.25054999058647476,0.25054999058647476
40,40,0.9995912509037279,1.0,0,469.0,598.0,0.0,253.0,1,0.003927739730633262,0.003927739730633262
41,41,-0.9441115595903502,-0.9,1,287.0,991.0,1.0,202.0,1,0.4274371520338827,0.4274371520338827
42,42,0.41231265497632985,0.4,0,343.0,661.0,0.0,326.0,1,0.09568472460419009,0.09568472460419009
43,43,0.11719581967275561,0.1,0,317.0,947.0,0.0,886.0,1,0.05211171364957767,0.05211171364957767
44,44,-0.054715838750724055,-0.1,1,319.0,939.0,1.0,1022.0,1,0.0007582861538730779,0.0007582861538730779
45,45,0.4259093050681424,0.4,0,262.0,738.0,0.0,990.0,1,0.06360054195831966,0.06360054195831966
46,46,0.5812226699097285,0.6,0,272.0,697.0,0.0,491.0,1,0.26822543730509574,0.26822543730509574
47,47,-0.8124682583700769,-0.8,1,403.0,623.0,1.0,244.0,1,0.24257887499016312,0.24257887499016312
48,48,-0.9478583355733166,-0.9,1,268.0,732.0,1.0,190.0,1,0.4481004738178844,0.4481004738178844
49,49,-0.6802137965021795,-0.7,1,295.0,631.0,1.0,404.0,1,0.3725271575487617,0.3725271575487617
50,50,0.5996195511531399,0.6,0,262.0,917.0,0.0,551.0,1,0.2239956891536306,0.2239956891536306
51,51,0.6960248746206172,0.7,0,465.0,960.0,0.0,405.0,1,0.4348650185284234,0.4348650185284234
52,52,0.9192317776064303,0.9,0,386.0,560.0,0.0,224.0,1,0.008356100215135553,0.008356100215135553
53,53,0.8001262176608608,0.8,0,265.0,715.0,0.0,390.0,1,0.43714984786481803,0.43714984786481803
54,54,-0.2873387849430997,-0.3,1,366.0,900.0,0.0,404.0,0,0.05672485988734277,0.05672485988734277
55,55,-0.7215877625093139,-0.7,1,314.0,598.0,1.0,288.0,1,0.3222923209434545,0.3222923209434545
56,56,-0.45854916283001823,-0.5,1,310.0,549.0,1.0,511.0,1,0.30951892146858145,0.30951892146858145
57,57,0.45464548101251,0.5,0,446.0,572.0,0.0,342.0,1,0.12605876023855267,0.12605876023855267
58,58,0.6789942802701037,0.7,0,304.0,750.0,0.0,146.0,1,0.20071985289743244,0.20071985289743244
59,59,0.5411492316479318,0.5,0,404.0,888.0,0.0,518.0,1,0.3421845674361251,0.3421845674361251
60,60,0.7151738659388014,0.7,0,337.0,619.0,0.0,364.0,1,0.32681807443465205,0.32681807443465205
61,61,-0.027751705726926756,-0.0,1,266.0,719.0,1.0,495.0,1,0.2516573408728362,0.2516573408728362
62,62,0.8896687115500181,0.9,0,434.0,896.0,0.0,150.0,1,0.029704927355683697,0.029704927355683697
63,63,-0.5626306964372896,-0.6,1,412.0,754.0,1.0,214.0,1,0.2426188110977951,0.2426188110977951
64,64,0.9516132804244195,1.0,0,319.0,655.0,0.0,296.0,1,0.15134132544602635,0.15134132544602635
65,65,-0.7597791030093448,-0.8,1,257.0,874.0,1.0,359.0,1,0.36297864592767465,0.36297864592767465
66,66,0.7154703409692653,0.7,0,363.0,966.0,0.0,251.0,1,0.2681955653690291,0.2681955653690291
67,67,0.6337391886999573,0.6,0,350.0,538.0,0.0,212.0,1,0.4423204735065915,0.4423204735065915
68,68,0.9232074377368864,0.9,0,287.0,737.0,0.0,216.0,1,0.07796944906951814,0.07796944906951814
69,69,-0.9487509798075806,-0.9,1,334.0,958.0,1.0,428.0,1,0.054464431869142016,0.054464431869142016
70,70,-0.6588339374061012,-0.7,1,274.0,770.0,1.0,396.0,1,0.3188445067059924,0.3188445067059924
71,71,-0.3686073035709334,-0.4,1,388.0,659.0,1.0,443.0,1,0.42315591303153893,0.42315591303153893
72,72,0.9811939803736658,1.0,0,335.0,578.0,0.0,267.0,1,0.08936590028998459,0.08936590028998459
73,73,-0.9266827407300289,-0.9,1,369.0,896.0,1.0,255.0,1,0.4564741204678769,0.4564741204678769
74,74,0.1553457320734133,0.2,0,356.0,771.0,0.0,693.0,1,0.16412284963656387,0.16412284963656387
75,75,-0.2730306620475085,-0.3,1,275.0,966.0,1.0,729.0,1,0.09072846097560255,0.09072846097560255
76,76,-0.014700550958873349,-0.0,1,341.0,680.0,1.0,569.0,1,0.43459576329172944,0.43459576329172944
77,77,-0.045566863565488225,-0.0,1,474.0,738.0,1.0,298.0,1,0.3685788628825419,0.3685788628825419
