,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
0,0,-0.5193588391008033,-0.5,1,396.0,577.0,1.0,277.0,1,1.168471817473636,0.0
1,1,0.09838158915871409,0.1,0,303.0,809.0,0.0,268.0,1,0.6306641672986514,0.0
2,2,-0.6947219183625915,-0.7,1,310.0,572.0,1.0,238.0,1,0.8430607708733686,0.0
3,3,0.2774102126191651,0.3,0,377.0,615.0,0.0,98.0,1,1.1251688540733196,0.0
4,4,0.886424842943679,0.9,0,456.0,786.0,0.0,108.0,1,1.1667772771944145,0.0
5,5,0.6399959377602424,0.6,0,289.0,685.0,0.0,186.0,1,0.938851622034452,0.0
6,6,0.633484128987297,0.6,0,271.0,922.0,0.0,167.0,1,0.6289323864972292,0.0
7,7,-0.2516012504806999,-0.3,1,356.0,551.0,1.0,383.0,1,0.6262292203337452,0.0
8,8,0.12925791611958148,0.1,0,280.0,783.0,0.0,197.0,1,1.0872511463263959,0.0
9,9,0.7146232954214895,0.7,0,417.0,507.0,0.0,166.0,1,0.7780590871321238,0.0
10,10,0.501138721062925,0.5,0,303.0,694.0,0.0,113.0,1,1.0625811953333182,0.0
11,11,0.8507108174982523,0.9,0,424.0,520.0,0.0,176.0,1,0.9632970293065581,0.0
12,12,0.5611496580340218,0.6,0,377.0,984.0,0.0,189.0,1,0.7456259255626516,0.0
13,13,-0.0719730296742207,-0.1,1,486.0,893.0,0.0,991.0,0,0.9010903272703222,0.0
14,14,0.027728039167842278,0.0,0,441.0,917.0,1.0,172.0,0,1.1763964252507753,0.0
15,15,0.06409802609750526,0.1,0,410.0,762.0,0.0,328.0,1,1.2373080127399025,0.0
16,16,-0.6999916477068859,-0.7,1,389.0,641.0,1.0,210.0,1,0.7990236399379617,0.0
17,17,0.907038551236087,0.9,0,266.0,637.0,0.0,187.0,1,1.0778016343087986,0.0
18,18,-0.9224415357366229,-0.9,1,484.0,746.0,1.0,120.0,1,1.2075256556889102,0.0
19,19,-0.346984282810483,-0.3,1,310.0,856.0,1.0,344.0,1,0.9954659768028491,0.0
20,20,-0.8953595544190789,-0.9,1,476.0,781.0,1.0,193.0,1,0.721525515076108,0.0
21,21,-0.7900557454962147,-0.8,1,354.0,990.0,1.0,196.0,1,1.1604196592236478,0.0
22,22,0.7058606223555737,0.7,0,391.0,582.0,0.0,137.0,1,1.0970427687974684,0.0
23,23,0.44751365664603915,0.4,0,346.0,871.0,0.0,243.0,1,1.1207999465534866,0.0
24,24,0.18134971825195456,0.2,0,463.0,871.0,0.0,216.0,1,0.8266806961913469,0.0
25,25,-0.8930429621951859,-0.9,1,255.0,847.0,1.0,238.0,1,0.9802264389042669,0.0
