,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,inputBias
0,0,-0.2060334872648082,-0.2,1,339.0,534.0,1.0,167.0,1,0.40581980446051785
1,1,0.7468376874599452,0.7,0,261.0,785.0,0.0,94.0,1,0.3966107189210816
2,2,-0.05214857764955516,-0.1,1,433.0,748.0,1.0,1609.0,1,0.40001902995567995
3,3,0.0851790978868614,0.1,0,427.0,820.0,1.0,-817.0,0,0.29185693726360257
4,4,0.1874088401607117,0.2,0,340.0,848.0,0.0,1052.0,1,0.24321286594475033
5,5,0.33743551403758754,0.3,0,358.0,857.0,0.0,655.0,1,0.20743571396697044
6,6,0.6131013962872118,0.6,0,345.0,725.0,0.0,170.0,1,0.2755594620219152
7,7,0.7005093764184083,0.7,0,324.0,552.0,0.0,184.0,1,0.2658350923582727
8,8,-0.9233904548756418,-0.9,1,287.0,821.0,1.0,102.0,1,0.3993373511088121
9,9,-0.9843757732602461,-1.0,1,284.0,677.0,1.0,169.0,1,0.41388080907049873
10,10,0.717017616533099,0.7,0,264.0,549.0,0.0,217.0,1,0.39725033617113936
11,11,-0.6725632466418641,-0.7,1,490.0,652.0,1.0,168.0,1,0.29674733720449864
12,12,0.913121470232092,0.9,0,441.0,616.0,1.0,-17.0,0,0.3423271853933868
13,13,0.043522500669666675,0.0,0,435.0,848.0,1.0,147.0,0,0.4624957791398015
14,14,-0.5352365971067092,-0.5,1,378.0,536.0,1.0,-284.0,1,0.4362637885735622
15,15,0.024360459835682358,0.0,0,433.0,578.0,1.0,779.0,0,0.4030086478005014
16,16,-0.9132878102872157,-0.9,1,388.0,622.0,1.0,170.0,1,0.3088936319577924
17,17,-0.4128026662949036,-0.4,1,410.0,505.0,1.0,105.0,1,0.3938178719429536
18,18,-0.3762456410653292,-0.4,1,254.0,972.0,1.0,-156.0,1,0.38696851908774244
19,19,-0.23934764834400468,-0.2,1,342.0,643.0,1.0,1165.0,1,0.24941414866972486
20,20,0.4475986065628599,0.4,0,277.0,931.0,0.0,192.0,1,0.206729400770991
